time,open,high,low,close,Line,Squeeze
1733710800,99457,99482,99457,99482,-169.03272727272605,2
1733710860,99530,99530,99528,99528,-168.99636363636398,2
1733710920,99538,99570,99538,99556,-152.59818181818014,2
1733710980,99512,99521,99512,99521,-140.32454545454607,2
1733711040,99543,99543,99541,99541,-105.06272727272749,2
1733711100,99449,99452,99449,99452,-84.8845454545448,2
1733711160,99468,99468,99353,99353,-100.51363636363689,2
1733711220,99363,99363,99332,99332,-110.9081818181831,2
1733711280,99359,99386,99359,99386,-97.62000000000171,2
1733711340,99338,99369,99299,99369,-96.85545454545594,2
1733711400,99365,99365,99245,99292,-118.85454545454651,2
1733711520,99414,99414,99414,99414,-85.27636363636597,2
1733711580,99333,99348,99333,99348,-66.0936363636352,2
1733711640,99462,99462,99418,99418,-25.84909090909059,1
1733711700,99395,99481,99395,99481,43.00636363636448,1
1733711760,99488,99521,99488,99514,100.86545454545362,1
1733711820,99460,99460,99400,99400,94.154545454546,1
1733711880,99376,99376,99322,99332,55.55818181818309,1
1733711940,99368,99371,99301,99301,17.13363636363806,1
1733712000,99309,99309,99278,99294,-21.14999999999762,2
1733712060,99263,99267,99255,99267,-79.2863636363607,2
1733712120,99348,99348,99292,99292,-101.83727272727306,2
1733712180,99369,99369,99369,99369,-103.34999999999762,2
1733712240,99338,99338,99258,99258,-127.65090909090517,2
1733712300,99242,99242,99212,99213,-135.37363636363324,2
1733712360,99212,99212,99204,99204,-117.84818181818065,2
1733712420,99204,99205,99204,99205,-99.77090909090845,2
1733712480,99215,99215,99168,99168,-96.92636363636437,2
1733712540,99160,99160,99121,99141,-99.68545454545635,2
1733712600,99121,99121,99101,99118,-105.28545454545608,2
1733712660,99106,99106,99101,99101,-118.22909090909103,2
1733712720,99100,99177,99097,99124,-113.51454545454789,2
1733712780,99126,99186,99126,99186,-66.17909090909049,2
1733712840,99271,99271,99271,99271,-4.504545454545166,2
1733712900,99281,99281,99227,99227,25.57545454545496,2
1733712960,99284,99284,99266,99266,62.866363636362195,2
1733713020,99229,99266,99229,99266,95.15000000000106,2
1733713080,99269,99270,99269,99270,114.93818181818243,2
1733713140,99244,99244,99244,99244,113.25818181818389,2
1733713200,99220,99220,99220,99220,91.6590909090925,2
1733713260,99319,99319,99319,99319,88.79090909091279,2
1733713320,99333,99333,99333,99333,78.17181818181865,2
1733713380,99309,99371,99308,99371,72.28090909090824,2
1733713440,99407,99407,99407,99407,88.54000000000076,2
1733713500,99377,99385,99310,99310,59.78090909090851,2
1733713560,99361,99393,99352,99372,59.94636363635973,2
1733713620,99327,99343,99327,99340,48.300909090905165,2
1733713680,99347,99351,99301,99315,29.934545454540853,2
1733713740,99313,99323,99313,99323,11.076363636360654,2
1733713800,99290,99296,99263,99263,-36.3663636363638,1
1733713860,99311,99311,99309,99309,-47.06727272726923,1
1733713980,99325,99328,99324,99328,-45.958181818177025,1
1733714040,99365,99365,99365,99365,-27.65636363636216,1
1733714100,99307,99307,99307,99307,-19.523636363635887,1
1733714160,99315,99325,99266,99266,-38.3318181818158,1
1733714220,99255,99268,99255,99268,-36.91181818181596,2
1733714280,99235,99235,99235,99235,-44.98999999999783,2
1733714340,99204,99204,99204,99204,-59.83818181817901,2
1733714400,99194,99194,99153,99153,-79.87999999999646,2
1733714520,99180,99180,99180,99180,-97.62363636363324,2
1733714580,99109,99119,99101,99119,-118.92545454545153,2
1733714640,99114,99114,99092,99092,-135.77272727272302,2
1733714700,99086,99086,99072,99072,-134.9918181818169,2
